schema_version,M,K,N,array_n,buffer_kb,data_bytes,clock_hz,schedule,arbiter,dma,dma_outstanding,queue_depth,noc_latency,hbm_bw_GBps,hbm_lat_cyc,interconnect_bw_GBps,buf_bw_Bpc,time_resolution_s,sim_ticks,sim_s,requests,ic_requests,bytes,passes,macs,useful_ops,executed_ops,useful_ops_s,executed_ops_s,useful_ai,executed_ai,avg_queue_ns,queue_full,stall_ns,grants,case_id,group
1,128,128,128,32,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,9520000,9.52e-06,144,144,147456,64,2097152,4194304,4194304,440578151260.5042,440578151260.5042,28.444444444444443,28.444444444444443,1.7777777777777777,0,0,[144],e3_128_32_256,E3
1,128,16,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,16,64,1e-12,11565000,1.1565e-05,192,192,49152,64,262144,524288,524288,45334025075.65932,45334025075.65932,10.666666666666666,10.666666666666666,14.052083333333336,0,0,[192],e4_16_16,E4
1,128,16,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,9901000,9.901e-06,192,192,49152,64,262144,524288,524288,52953035046.96495,52953035046.96495,10.666666666666666,10.666666666666666,0.3333333333333333,0,0,[192],e4_16_256,E4
1,128,32,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,16,64,1e-12,15641000,1.5641e-05,320,320,81920,128,524288,1048576,1048576,67040214820.02429,67040214820.02429,12.8,12.8,6.4,0,0,[320],e4_32_16,E4
1,128,32,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,14105000,1.4105000000000001e-05,320,320,81920,128,524288,1048576,1048576,74340730237.50443,74340730237.50443,12.8,12.8,0.4,0,0,[320],e4_32_256,E4
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,16,64,1e-12,62105000,6.2105e-05,1088,1088,278528,512,2097152,4194304,4194304,67535689558.0066,67535689558.0066,15.058823529411764,15.058823529411764,7.529411764705882,0,0,[1088],e4_128_16,E4
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,55961000,5.5961e-05,1088,1088,278528,512,2097152,4194304,4194304,74950483372.3486,74950483372.3486,15.058823529411764,15.058823529411764,0.47058823529411764,0,0,[1088],e4_128_256,E4
1,128,512,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,16,64,1e-12,247961000,0.000247961,4160,4160,1064960,2048,8388608,16777216,16777216,67660704707.595146,67660704707.595146,15.753846153846155,15.753846153846155,7.876923076923077,0,0,[4160],e4_512_16,E4
1,128,512,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,223385000,0.00022338500000000002,4160,4160,1064960,2048,8388608,16777216,16777216,75104487767.75522,75104487767.75522,15.753846153846155,15.753846153846155,0.49230769230769234,0,0,[4160],e4_512_256,E4
1,128,128,128,16,4,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,55961000,5.5961e-05,1088,1088,278528,512,2097152,4194304,4194304,74950483372.3486,74950483372.3486,15.058823529411764,15.058823529411764,0.47058823529411764,0,0,[1088],e5_4,E5
1,128,128,128,16,16,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,55961000,5.5961e-05,1088,1088,278528,512,2097152,4194304,4194304,74950483372.3486,74950483372.3486,15.058823529411764,15.058823529411764,0.47058823529411764,0,0,[1088],e5_16,E5
1,128,128,128,16,64,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,55961000,5.5961e-05,1088,1088,278528,512,2097152,4194304,4194304,74950483372.3486,74950483372.3486,15.058823529411764,15.058823529411764,0.47058823529411764,0,0,[1088],e5_64,E5
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,55961000,5.5961e-05,1088,1088,278528,512,2097152,4194304,4194304,74950483372.3486,74950483372.3486,15.058823529411764,15.058823529411764,0.47058823529411764,0,0,[1088],e5_256,E5
